38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTP (Nilai Tukar Petani) menurut Provinsi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petani,,,,,,,,,,,,,Petani Tanaman Pangan,,,,,,,,,,,,,Petani Hortikultura,,,,,,,,,,,,,Petani Tanaman Perkebunan,,,,,,,,,,,,,Petani Peternakan,,,,,,,,,,,,,Nelayan,,,,,,,,,,,,,Pembudidayaan Ikan,,,,,,,,,,,,,Nelayan dan Pembudidayaan Ikan,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
JAWA TIMUR,100.67,100.38,99.19,98.31,98.92,99.03,98.75,100.06,100.58,101.17,100.88,102.22,100.02,102.21,101,98.21,96.98,98.73,99.39,97.81,101.06,102.86,103.36,103.24,103.35,100.69,100.01,103.31,106.59,101.65,97.57,94,97.35,94.58,92.14,94.54,90.23,101.38,97.78,98.35,98.46,99.01,99.19,99.06,99.5,98.74,101.24,100.54,100.73,100.35,100.36,99.63,98.45,98.33,98.11,99.39,99.69,100.25,101.44,99.82,99.15,99.21,100.28,100.6,99.56,96.6,98.42,96.9,98.62,101.24,101.22,101.85,103.19,104.15,104.31,104.21,102.61,101.11,101.06,101.5,101.1,100.74,100.88,98.38,97.8,98.04,99.58,101.59,102.41,102.94,100.5,99,100.08,99.17,99.77,101.05,99.69,99.67,100.41,101.68,102.84,103.24,102.79,100.78
BANTEN,101.16,100.92,99.69,98.07,98.19,97.71,95.87,96.65,97.71,97.9,98.22,99.29,98.44,101.15,100.38,98.43,95.37,94.94,94.85,92.34,93.82,95.68,96.27,97.14,98.63,96.58,102.37,103.33,103.78,103.96,103.88,102.54,101.7,99.46,98.87,97.19,96.27,96.96,100.85,111.6,113.64,112.89,115.81,118.45,117.92,121.06,121.8,119.73,120.04,117.36,116.82,117.27,94.14,93.93,94.32,96.13,98.27,96.42,94.08,94.57,94.49,94.22,94.71,94.91,95.02,98.89,100.17,100.64,101.01,101.17,101.03,100.71,100.4,101.55,102.28,101.99,102,100.99,98.08,99.69,99.99,100.44,101.92,101.08,101.15,100.32,102.38,104.12,102.51,101.8,101.13,98.65,100.02,100.45,100.84,101.39,101.04,100.85,100.38,101.8,102.83,102.14,101.94,101.03
BALI,93.09,92.46,91.46,92.12,91.93,92.38,92.58,92.88,93,93.4,94.03,94.77,92.84,96.4,94.95,92.4,89.86,89.4,90.13,90.15,91.08,91.87,92.58,94.13,93.52,92.2,94.55,91.77,92.39,94.86,92.52,88.76,89.67,92.63,90.42,90.95,89.65,96.97,92.1,79.58,81.54,79.51,81.32,83.24,86.15,85.67,85.46,86.08,88.22,89.09,90.7,84.72,98.55,97.87,98.4,100.48,100.09,100.4,100.87,99.74,99.81,98.67,99.2,97.41,99.29,98.14,98.58,97.62,99.96,99.13,100.91,101.74,100.1,102.27,101.05,101.09,101.81,100.2,104.23,101.62,100.07,100.35,100.14,101.26,100.65,99.52,99.66,99.82,100.59,99.42,100.61,98.82,98.92,97.9,100,99.24,100.95,101.62,100.03,101.97,100.92,101.03,101.54,100.24
NUSA TENGGARA BARAT,109.34,109.01,107.01,105.75,106.76,107.03,107.93,106.84,106.58,106.19,105.73,106.88,107.09,111.54,111.49,108.1,106.34,108.16,109.03,109.12,107.63,107.93,107.15,107.74,107.74,108.49,113.37,110.63,114.79,109.48,105.05,101.23,104.88,100.77,96.79,97.91,93.49,105.64,104.5,91.56,92.23,90.12,90.61,91.01,91.6,91.91,94.62,94.65,95.26,93.93,93.35,92.57,106.89,106.61,105.65,106.9,108.21,108.85,111.3,111.1,110.79,110.19,108.64,108.18,108.62,110.41,110.59,108.54,109.9,112.25,111.12,111,112.89,112.7,114.71,114.59,116.58,112.11,99.76,98.43,98.78,100.32,101.94,101.63,100.09,101.75,103.61,101.3,102.9,103.21,101.14,107.99,107.83,106.33,107.73,109.9,108.96,108.53,110.37,110.65,111.68,111.95,113.56,109.62
NUSA TENGGARA TIMUR,96.44,95.75,94.65,94.38,94.49,94.36,95.06,95.05,95.34,95.5,95.42,96.14,95.22,96.17,96.03,94.75,93.65,93.26,92.83,93.94,93.97,94.29,94.55,94.32,95.36,94.43,100.63,99.72,100.33,104.03,106.33,105.5,105.71,104,100.79,99.31,97.9,98.01,101.86,93.81,91.97,90.27,90.52,90.7,91.36,91.56,91.8,92.18,92.4,92.41,92.23,91.77,102.43,101.44,101.65,102.22,103.77,103.85,104,104.07,105.92,106.12,106.97,108.17,104.22,93.71,93.69,92.38,93.48,93.83,93.14,93.07,92.75,91.26,91.14,90.97,91.17,92.55,90.65,90.5,90.41,92.03,89.86,90.82,90.57,90.79,91.68,93.77,95.34,100.47,92.24,92.95,92.9,91.89,93.12,92.84,92.56,92.45,92.26,91.37,91.79,92.06,93.49,92.47
KALIMANTAN BARAT,116.98,117.31,120.82,122.8,124.41,127.37,126.81,130.56,134.25,137.63,141.01,143.61,128.68,95.94,95.45,94.48,93.52,93.75,94.3,94.35,93.74,94.16,94.05,93.94,93.4,94.25,107.84,107.31,106.41,106.89,105.75,102.93,102.29,102.75,105.53,105.69,101.06,103.95,104.86,127.94,128.63,134.67,138.07,140.46,144.98,144.02,150.23,155.74,161.02,166.77,170.91,147.04,96.14,96.73,95.74,97.47,99.35,101.1,102.08,100.44,99.7,100.77,99.58,99.6,99.07,105.42,105.99,105.84,105.6,105.81,106.1,107.18,107.54,106.91,107.32,106.85,106.8,106.45,98.87,99.91,99.55,99.3,99.22,98.79,98.45,99.16,99.61,99.57,99.16,98.08,99.14,104.21,104.87,104.69,104.44,104.59,104.75,105.57,105.99,105.56,105.88,105.42,105.19,105.1
KALIMANTAN TENGAH,109.43,110.15,112.16,113.07,114.45,116.66,117.39,120.44,123.63,125.11,128.22,131.07,118.53,100.17,99.24,97.9,97.48,96.92,95.77,94.82,93.7,95.23,93.64,95,96.16,96.32,99.55,101.6,103.75,103.71,103.12,101.44,100.65,100.05,98.42,98.66,99.54,109.06,101.63,115.98,117.66,121.8,123.66,126.16,130.69,132.45,139.01,144.04,147.3,151.9,155.99,133.99,105.83,104.44,104.11,103.4,105.08,106.46,106.67,104.45,106.06,106.78,108.74,106.34,105.7,102,101.95,101.08,102.62,102.78,102.4,102.48,102.04,103.15,102.71,103.57,102.89,102.48,101.9,102.06,100.1,99.77,99.73,99.91,99.99,100.87,101.3,100.9,101.04,100.17,100.64,101.98,101.97,100.89,102.07,102.19,101.92,102,101.81,102.8,102.36,103.08,102.36,102.12
KALIMANTAN SELATAN,105.89,106.21,107.97,107.87,107.32,106.71,106.54,106.35,107.89,107.93,109.52,110.8,107.59,103.69,104.17,104.07,103.19,101.48,100.03,98.37,97.15,97.4,96.5,96.62,96.93,99.95,100.12,103.89,105.62,103.85,101.82,100.6,101.43,99.04,98.5,98.4,96.93,109.89,101.68,113.02,112.89,118.2,119.58,120.39,120.39,122.44,124.62,128.77,129.9,134.19,135.81,123.4,99.63,99.8,101.08,99.38,100.83,102.65,102.22,99.65,100.13,101.73,103.52,101.29,101,98.61,97.57,96.13,97.37,98.02,99.11,98.12,98.26,99.7,99.78,101.54,102.08,98.86,99.57,97.73,97.93,100.5,100.55,99.66,101.38,101.69,102.04,103.12,104.74,106.52,101.3,98.81,97.61,96.5,98.01,98.54,99.22,98.79,98.97,100.18,100.47,102.2,103,99.37
KALIMANTAN TIMUR,116.24,116.85,117.84,118.92,118.67,119.32,119.17,120.53,122.51,124.35,126.65,129.93,120.94,98.38,97.55,96.86,95.41,94.52,94.86,95.16,94.88,94.18,94.11,93.6,93.93,95.28,106.74,107.61,109.65,107.61,105.74,105.38,107.3,104.42,103.03,102.97,102.75,109.65,106.07,138.35,140.23,142.51,145.67,145.3,146.86,145.39,150.84,156.98,161.01,166.45,172.92,151.1,101.31,101.39,101.47,103.12,104.98,105.81,106.84,104.4,103.84,105.07,107.15,105.88,104.28,102.96,102.43,102.51,103.19,104.26,103.85,103.97,102.91,102.33,103.09,102.58,102,103.01,101.13,100.1,99.71,101.61,100.72,98.53,98.55,98.57,97.77,97.66,97.71,98.21,99.18,102.37,101.68,101.6,102.68,103.11,102.13,102.22,101.51,100.86,101.34,101,100.78,101.77
KALIMANTAN UTARA,103.62,103.92,104.3,104.86,105.61,105.79,105.62,106.17,106.71,107.06,107.88,108.67,105.85,99.57,99.68,99.14,99.36,99.21,99.49,99.29,99.63,99.49,99.3,99.28,98.43,99.32,95.15,95.12,94.97,95.83,96.13,96.78,96.54,95.39,94.81,94.9,94.01,97.66,95.61,124.18,124.19,128.37,129.4,130.58,131.27,128.84,133.3,136.3,140.83,145.59,151.79,133.74,103.32,104.75,105.38,104.41,106.72,105.01,106.06,104.32,105.21,103.77,104.8,103.3,104.75,101.47,101.58,100.17,102.38,103.99,104.67,105.32,106.01,106.16,105.86,106.28,105.93,104.15,100.91,101.42,101.93,102.24,102.67,102.9,103.31,103.65,104.19,103.91,104.16,103.93,102.94,101.2,101.5,101.03,102.31,103.34,103.8,104.34,104.86,105.19,104.9,105.24,104.95,103.56
